Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Organic Fertilizer
Sandy,Maize,37,0,0,Safi Biochar
Loamy,Sugarcane,12,0,36,Safi Sarvi Planting Fertilizer
Black,Cotton,7,9,30,Safi Sarvi Planting Fertilizer
Red,Tobacco,22,0,20,Safi Sarvi Planting Fertilizer
Clayey,Paddy,35,0,0,Safi Sarvi Topper
Sandy,Barley,12,10,13,Safi Biochar
Red,Cotton,9,0,10,Safi Sarvi Planting Fertilizer
Loamy,Wheat,41,0,0,Safi Sarvi Topper
Sandy,Millets,21,0,18,Safi Biochar
Black,Oil seeds,9,7,30,Safi Sarvi Planting Fertilizer
Clayey,Pulses,13,0,40,Safi Sarvi Planting Fertilizer
Sandy,Maize,14,15,12,Safi Biochar
Loamy,Cotton,36,0,0,Safi Sarvi Topper
Clayey,Paddy,24,0,22,Safi Sarvi Planting Fertilizer
Red,Ground Nuts,14,0,41,Safi Sarvi Planting Fertilizer
Black,Sugarcane,10,13,14,Safi Sarvi Planting Fertilizer
Clayey,Pulses,38,0,0,Safi Sarvi Topper
Sandy,Barley,21,0,19,Safi Biochar
Black,Cotton,39,0,0,Safi Sarvi Topper
Loamy,Wheat,13,0,36,Safi Sarvi Planting Fertilizer
Sandy,Millets,10,0,9,Safi Biochar
Loamy,Sugarcane,12,14,12,Safi Sarvi Topper
Red,Tobacco,11,0,37,Safi Sarvi Planting Fertilizer
Black,Millets,36,0,0,Safi Sarvi Planting Fertilizer
Clayey,Paddy,13,0,10,Safi Sarvi Planting Fertilizer
Sandy,Maize,23,0,20,Safi Biochar
Red,Cotton,9,9,29,Safi Sarvi Planting Fertilizer
Loamy,Sugarcane,38,0,0,Safi Sarvi Topper
Black,Oil seeds,12,0,39,Safi Sarvi Planting Fertilizer
Clayey,Pulses,14,0,13,Safi Sarvi Planting Fertilizer
Red,Ground Nuts,24,0,23,Safi Sarvi Planting Fertilizer
Loamy,Sugarcane,12,0,40,Safi Sarvi Planting Fertilizer
Clayey,Paddy,39,0,0,Safi Sarvi Topper
Sandy,Barley,7,9,30,Safi Biochar
Loamy,Wheat,23,0,19,Safi Sarvi Planting Fertilizer
Black,Millets,41,0,0,Safi Sarvi Topper
Loamy,Cotton,8,10,31,Safi Sarvi Planting Fertilizer
Clayey,Paddy,12,0,41,Safi Sarvi Planting Fertilizer
Red,Ground Nuts,15,14,11,Safi Sarvi Planting Fertilizer
Sandy,Millets,15,0,37,Safi Biochar
Clayey,Pulses,13,0,13,Safi Sarvi Planting Fertilizer
Loamy,Sugarcane,10,7,32,Safi Sarvi Planting Fertilizer
Red,Tobacco,22,0,24,Safi Sarvi Planting Fertilizer
Black,Sugarcane,35,0,0,Safi Sarvi Topper
Sandy,Barley,10,0,35,Safi Biochar
Loamy,Wheat,8,8,28,Safi Sarvi Planting Fertilizer
Black,Oil seeds,12,0,8,Safi Sarvi Planting Fertilizer
Clayey,Paddy,24,0,18,Safi Sarvi Planting Fertilizer
Red,Ground Nuts,41,0,0,Safi Sarvi Topper
Sandy,Maize,5,9,29,Safi Biochar
Red,Tobacco,23,0,21,Safi Sarvi Planting Fertilizer
Black,Oil seeds,13,0,14,Safi Sarvi Planting Fertilizer
